,indenização_count,revisão_count,tarifa_count,file,label
120,1,22,29,../data/VAC0946424_1.txt,tarifa
121,2,4,15,../data/VAC0680049_1.txt,tarifa
122,11,1,1,../data/VAC0999396_1.txt,indenização
123,1,4,10,../data/VAC0931840_1.txt,tarifa
124,7,0,0,../data/VAC0691989_1.txt,indenização
125,6,0,0,../data/VAC0917934_1.txt,indenização
126,31,4,3,../data/VAC0933046_1.txt,indenização
127,0,51,8,../data/VAC0900633_1.txt,revisão
128,0,0,0,../data/VAC0850583_1.txt,
129,1,0,0,../data/VAC0886065_1.txt,indenização
130,0,0,0,../data/VAC0796573_1.txt,
131,9,0,0,../data/VAC0911177_1.txt,indenização
132,11,1,2,../data/VAC0957269_2.txt,indenização
133,3,4,0,../data/VAC0902764_1.txt,revisão
134,0,0,0,../data/VAC0922077_1.txt,
135,0,0,0,../data/VAC0944562_1.txt,
136,1,33,10,../data/VAC0929258_1.txt,revisão
137,0,0,0,../data/VAC0811569_2.txt,
138,2,0,0,../data/VAC0911737_1.txt,indenização
139,0,20,0,../data/VAC1000807_1.txt,revisão
140,0,0,0,../data/VAC0673308_1.txt,
141,7,0,0,../data/VAC1088398_1.txt,indenização
142,15,1,0,../data/VAC0784538_2.txt,indenização
143,0,0,0,../data/VAC0411579_1.txt,
144,0,0,0,../data/VAC0062597_1.txt,
145,0,10,18,../data/VAC0600599_1.txt,tarifa
146,0,0,0,../data/VAC0690583_1.txt,
147,1,0,0,../data/VAC0906683_1.txt,indenização
148,0,25,7,../data/VAC0669935_1.txt,revisão
149,0,28,8,../data/VAC1020034_1.txt,revisão
150,3,0,0,../data/VAC1080985_1.txt,indenização
151,0,16,5,../data/VAC0715179_1.txt,revisão
152,0,3,9,../data/VAC0911385_1.txt,tarifa
153,3,0,0,../data/VAC1030035_1.txt,indenização
154,0,38,9,../data/VAC1057950_1.txt,revisão
155,8,0,0,../data/VAC0800447_1.txt,indenização
156,2,1,0,../data/VAC0929749_1.txt,indenização
157,0,4,0,../data/VAC0998434_1.txt,revisão
158,0,0,0,../data/VAC0845387_1.txt,
159,0,0,0,../data/VAC0616215_1.txt,
160,0,17,7,../data/VAC0940241_1.txt,revisão
161,3,2,6,../data/VAC0716960_1.txt,tarifa
